edited,name,uuid,gender,first_name,last_name,party,parliament,education,questions_get,answers_give,url_profile
2015-05-28 12:10,swen-schulz,87c7d085-83a1-469f-8fc7-0b4287a81d39,male,Swen,Schulz,SPD,Bundestag,"Redaktionsdirektor, Diplompolitologe",0,0,https://www.abgeordnetenwatch.de/profile/swen-schulz
2015-05-23 01:08,cajus-caesar,87e9c70e-aaae-42df-9d20-3ad57927ed89,male,Cajus,Caesar,CDU,Bundestag,Diplom-Forstingenieur,0,0,https://www.abgeordnetenwatch.de/profile/cajus-caesar
2015-05-12 00:00,peter-weis,88433c43-f7c4-44ed-8bd0-8b94492acc95,male,Peter,Weiß,CDU,Bundestag,"Referatsleiter, Geschäftsführer",0,0,https://www.abgeordnetenwatch.de/profile/peter-weis
2015-05-31 01:08,ingo-gadechens,88c18eff-969e-4a6e-a226-e1f5c13378ab,male,Ingo,Gädechens,CDU,Bundestag,"Berufssoldat, Bundestagsabgeordneter",0,0,https://www.abgeordnetenwatch.de/profile/ingo-gadechens
2015-05-21 01:08,dr-carsten-sieling,88dd0626-a89e-44ac-906d-1f9fc2b58981,male,Carsten,Sieling,SPD,Bundestag,Diplom-Ökonom,0,0,https://www.abgeordnetenwatch.de/profile/dr-carsten-sieling
2015-05-15 01:08,michelle-muntefering,88e301d8-ac26-42ad-9b8e-a153793fce47,female,Michelle,Müntefering,SPD,Bundestag,Journalistin,0,0,https://www.abgeordnetenwatch.de/profile/michelle-muntefering
2015-05-12 01:00,harald-terpe,890415cd-eb5c-4c38-970f-a870e09052df,male,Harald,Terpe,DIE GRÜNEN,Bundestag,Arzt,0,0,https://www.abgeordnetenwatch.de/profile/harald-terpe
2015-05-12 00:00,elisabeth-winkelmeier-becker,8a908c80-13f7-4d1e-bc22-61837ba7f8ce,female,Elisabeth,Winkelmeier-Becker,CDU,Bundestag,Richterin am Amtsgericht a. D.,0,0,https://www.abgeordnetenwatch.de/profile/elisabeth-winkelmeier-becker
2015-05-17 01:08,gabriele-fograscher,8a981703-8558-4ff9-a6a2-b0716f4aa29f,female,Gabriele,Fograscher,SPD,Bundestag,"Erzieherin, Fachlehrerin",0,0,https://www.abgeordnetenwatch.de/profile/gabriele-fograscher
2015-05-12 10:00,thorsten-frei,8b06e79d-94cb-41a5-87d2-986b2cff67e5,male,Thorsten,Frei,CDU,Bundestag,Jurist,0,0,https://www.abgeordnetenwatch.de/profile/thorsten-frei
2015-05-12 01:00,michael-schlecht,8c6710b0-39d1-4556-8aa1-95b0ce4d9adf,male,Michael,Schlecht,DIE LINKE,Bundestag,"Gewerkschaftssekretär, Volkswirt",0,0,https://www.abgeordnetenwatch.de/profile/michael-schlecht
2015-05-24 01:08,dr-stephan-harbarth,8cab5ddc-1488-4cc7-9952-4fa3b4517b00,male,Stephan,Harbarth,CDU,Bundestag,Rechtsanwalt,0,0,https://www.abgeordnetenwatch.de/profile/dr-stephan-harbarth
2015-05-12 11:00,dr-helge-braun,8ceb3274-5dd5-4532-b3cd-6f6acffd5b3a,male,Helge,Braun,CDU,Bundestag,Arzt,0,0,https://www.abgeordnetenwatch.de/profile/dr-helge-braun
2015-05-30 01:09,iris-eberl,8d46eeeb-4bc4-43de-88b2-c4ef23b06197,female,Iris,Eberl,CSU,Bundestag,Studium der Mathematik und Wirtschaftswissenschaften,0,0,https://www.abgeordnetenwatch.de/profile/iris-eberl
2015-05-22 01:08,gero-storjohann,8d74051e-89c6-4e83-ac27-0dbee77254fc,male,Gero,Storjohann,CDU,Bundestag,Diplom-Betriebswirt (FH),0,0,https://www.abgeordnetenwatch.de/profile/gero-storjohann
2015-05-25 01:08,daniela-kolbe,8dd6f066-ec43-412b-808a-22a3c8cff715,female,Daniela,Kolbe,SPD,Bundestag,Diplom-Physikerin,0,0,https://www.abgeordnetenwatch.de/profile/daniela-kolbe
2015-05-25 01:08,dr-dorothee-schlegel,8e11167b-f936-468a-9d0f-a959afe5a00e,female,Dorothee,Schlegel,SPD,Bundestag,Sprachwissenschaftlerin und Diakonin,0,0,https://www.abgeordnetenwatch.de/profile/dr-dorothee-schlegel
2015-05-12 00:00,christel-vosbeck-kayser,8eb2c667-9a7d-4910-9541-3bb91c416bd9,female,Christel,Voßbeck-Kayser,CDU,Bundestag,Diplom-Sozialpädagogin,0,0,https://www.abgeordnetenwatch.de/profile/christel-vosbeck-kayser
2015-05-24 01:08,dr-hans-peter-uhl,8f050817-3bb1-4ec2-8e38-c86596b274fa,male,Hans-Peter,Uhl,CSU,Bundestag,Rechtsanwalt,0,0,https://www.abgeordnetenwatch.de/profile/dr-hans-peter-uhl
2015-05-12 02:00,rene-rospel,8f3db10d-090b-44ae-a677-7f800db6f2ab,male,René,Röspel,SPD,Bundestag,Diplom-Biologe,0,0,https://www.abgeordnetenwatch.de/profile/rene-rospel
2015-05-12 09:00,chris-kuhn,90ca8b01-5a53-4ce9-8b6f-173340b1afc8,male,Chris,Kühn,DIE GRÜNEN,Bundestag,"Politologe, Landesvorsitzender",0,0,https://www.abgeordnetenwatch.de/profile/chris-kuhn
2015-05-25 01:08,johannes-singhammer,90cd0902-932e-4a77-890d-da95c6f1875e,male,Johannes,Singhammer,CSU,Bundestag,Jurist,0,0,https://www.abgeordnetenwatch.de/profile/johannes-singhammer
