uuid,date,title,vote
014490fc-3403-4255-b92d-175816269937,21.02.2014,"Gesetz zur Strafbarkeit von Abgeordnetenbestechung","JA"
014490fc-3403-4255-b92d-175816269937,20.02.2014,"Fortsetzung des Afghanistan-Einsatzes (ISAF)","JA"
014490fc-3403-4255-b92d-175816269937,20.02.2014,"Verlängerung des Bundeswehreinsatzes in Mali","JA"
014490fc-3403-4255-b92d-175816269937,30.01.2014,"Anbau von Genmais in der EU verhindern","NEIN"
014490fc-3403-4255-b92d-175816269937,29.01.2014,"Fortsetzung des Patriot-Einsatzes in der Türkei","JA"
014490fc-3403-4255-b92d-175816269937,29.01.2014,"Verlängerung des Anti-Terror-Einsatzes im Mittelmeer (OAE)","JA"
014490fc-3403-4255-b92d-175816269937,28.11.2013,"Verlängerung des Bundeswehreinsatzes in Südsudan (UNMISS)","JA"
014490fc-3403-4255-b92d-175816269937,28.11.2013,"Verlängerung des Darfur-Einsatzes (UNAMID)","JA"
uuid,date,title,vote
02da6707-6255-4c8b-8e80-818c2d732943,22.05.2015,"Tarifeinheitsgesetz","JA"
02da6707-6255-4c8b-8e80-818c2d732943,27.03.2015,"Nachhaltige und zukunftsweisende Liegenschaftspolitik","NEIN"
02da6707-6255-4c8b-8e80-818c2d732943,27.03.2015,"PKW-Maut","JA"
02da6707-6255-4c8b-8e80-818c2d732943,26.03.2015,"Kooperative Holzvermarktung","NEIN"
02da6707-6255-4c8b-8e80-818c2d732943,27.02.2015,"Finanzhilfen für Griechenland","JA"
02da6707-6255-4c8b-8e80-818c2d732943,26.02.2015,"Verlängerung des Bundeswehreinsatzes in Mali (EUTM Mali)","JA"
02da6707-6255-4c8b-8e80-818c2d732943,29.01.2015,"Ausbildungsunterstützungseinsatz Kurdistan-Irak","JA"
02da6707-6255-4c8b-8e80-818c2d732943,29.01.2015,"Bundeswehreinsatz zur Luftüberwachung in der Türkei","JA"
